UF;Leitos;
GO;53;
MS;63;
MS;240;
MT;105;
GO;20;
GO;40;
AL;234;
CE;102;
SE;224;
BA;578;
AL;106;
PE;68;
GO;120;
MT;264;
MS;96;
GO;30;
MS;48;
GO;435;
SE;159;
CE;72;
PE;24;
MA;38;
PE;22;
AL;80;
GO;59;
GO;38;
GO;46;
GO;46;
GO;16;
GO;75;
GO;69;
PB;350;
MA;64;
AL;145;
CE;80;
CE;48;
CE;80;
CE;215;
MT;308;
GO;309;
GO;220;
GO;30;
MS;80;
MT;58;
MT;280;
PE;30;
PE;250;
BA;49;
PE;89;
CE;8;
BA;60;
BA;36;
AL;33;
MA;220;
BA;126;
CE;35;
BA;104;
BA;600;
AL;12;
GO;16;
GO;9;
GO;303;
MS;128;
GO;63;
GO;218;
MS;85;
GO;165;
GO;768;
GO;43;
GO;27;
GO;78;
MT;114;
GO;12;
PE;70;
BA;26;
CE;71;
AL;116;
PE;141;
PE;72;
RN;32;
PB;15;
BA;34;
BA;350;
SE;216;
RN;21;
PE;352;
MS;62;
GO;1010;
MS;106;
MT;90;
GO;50;
GO;1252;
MS;402;
PB;26;
AL;36;
AL;60;
PB;240;
PB;46;
AL;56;
PE;183;
RN;60;
PE;14;
PB;350;
PB;80;
PE;350;
CE;123;
GO;28;
GO;110;
GO;477;
GO;50;
GO;326;
GO;56;
MS;60;
MT;130;
GO;269;
GO;141;
MS;64;
GO;36;
GO;32;
MS;50;
BA;148;
MA;99;
MA;186;
SE;131;
CE;120;
AL;260;
RN;51;
CE;219;
AL;141;
AL;225;
PI;61;
BA;45;
BA;25;
MT;29;
MT;65;
MT;279;
MT;72;
GO;11;
MT;83;
GO;45;
RN;65;
BA;287;
SE;80;
BA;236;
SE;75;
AL;10;
PE;37;
PE;24;
AL;14;
PB;111;
BA;184;
PE;354;
BA;110;
GO;18;
MS;40;
MT;46;
GO;50;
GO;216;
MS;80;
GO;44;
GO;100;
GO;204;
GO;28;
GO;966;
GO;42;
GO;100;
GO;10;
AL;18;
CE;44;
AL;10;
RN;14;
BA;25;
PE;8;
AL;24;
GO;35;
MS;62;
GO;42;
GO;1440;
GO;40;
GO;20;
MS;362;
PE;196;
PE;22;
BA;470;
PE;14;
AL;20;
BA;152;
BA;144;
PI;52;
CE;2;
BA;30;
PE;50;
RN;40;
CE;36;
BA;40;
GO;10;
MS;56;
GO;24;
GO;3;
MS;505;
MT;170;
MS;147;
BA;30;
AL;15;
PB;25;
SE;120;
BA;64;
AL;378;
CE;161;
GO;119;
GO;150;
GO;40;
GO;200;
GO;36;
GO;212;
PE;238;
BA;96;
BA;348;
PE;380;
BA;292;
PE;240;
RN;27;
RN;56;
BA;512;
PB;108;
BA;73;
BA;143;
CE;153;
GO;16;
GO;40;
GO;16;
GO;10;
MT;71;
MT;95;
MS;62;
MS;50;
MS;72;
GO;7;
GO;10;
GO;260;
MS;60;
GO;22;
CE;44;
BA;32;
RN;88;
AL;720;
BA;348;
AL;63;
PE;63;
BA;96;
PE;74;
CE;576;
AL;140;
SE;36;
CE;25;
PB;55;
GO;38;
MS;140;
MS;80;
GO;50;
MT;54;
GO;259;
GO;80;
MA;35;
BA;574;
CE;26;
AL;37;
AL;15;
BA;414;
MS;90;
MT;94;
GO;28;
MS;174;
GO;60;
MT;67;
GO;44;
AL;1176;
CE;6;
BA;402;
CE;6;
CE;38;
CE;31;
CE;220;
PE;24;
AL;28;
AL;41;
PE;376;
CE;222;
PB;120;
RN;288;
GO;4;
GO;28;
MS;78;
GO;10;
MT;55;
GO;213;
MT;57;
MS;196;
GO;149;
GO;23;
MT;115;
MT;70;
GO;80;
MS;30;
PE;296;
CE;39;
AL;584;
AL;550;
CE;80;
BA;180;
GO;63;
AL;27;
PE;18;
AL;48;
CE;20;
PB;44;
PB;186;
MS;19;
GO;14;
MS;78;
MT;83;
MT;60;
GO;147;
GO;10;
PB;136;
CE;60;
MA;15;
AL;120;
BA;66;
AL;36;
AL;37;
MT;49;
MS;50;
MS;87;
GO;79;
GO;1230;
GO;26;
GO;49;
RN;60;
CE;14;
PB;66;
GO;529;
BA;120;
CE;68;
MA;50;
PE;20;
PE;10;
PB;40;
CE;60;
PE;45;
PI;65;
MA;10;
MS;82;
AL;36;
MT;6;
PI;187;
MG;510;
RJ;249;
GO;52;
GO;170;
GO;106;
MS;144;
GO;59;
GO;190;
MS;12;
MA;200;
BA;130;
BA;20;
CE;192;
AL;64;
CE;12;
CE;74;
CE;18;
BA;36;
MA;92;
CE;45;
CE;22;
CE;60;
BA;250;
AL;108;
CE;80;
BA;90;
BA;168;
BA;230;
CE;52;
AL;104;
MG;240;
RJ;20;
RJ;20;
SP;196;
SP;18;
MG;64;
SP;34;
MS;84;
GO;27;
GO;54;
GO;300;
GO;20;
GO;10;
MS;128;
BA;80;
AL;178;
PB;54;
BA;13;
CE;18;
BA;30;
BA;70;
RJ;88;
RJ;163;
SP;144;
RJ;58;
RJ;40;
RJ;26;
PE;14;
AL;44;
AL;60;
RN;30;
CE;60;
BA;35;
BA;54;
GO;160;
CE;306;
PI;29;
RJ;60;
SP;360;
SP;8;
RJ;140;
BA;60;
AL;16;
MA;44;
CE;54;
CE;23;
BA;85;
PE;24;
RN;64;
BA;60;
CE;54;
MA;25;
